ID;Nama Monster;Tipe
#001;Gatotsuar;Listrik
#002;Crabrage;Api
#003;GiliManuk;Terbang
#004;Nyishade;Api
#005;Arunclaw;Terbang
#006;Garulisk;Tanah
#007;Garugrim;Tanah
#008;Gempator;Tanah
#009;Bahemut;Air
#010;Cakatimur;Air
#011;Nyirune;Air
#012;Wayakomo;Api
#013;Anoagrim;Api
#014;Ignisuma;Tanah
#015;Rimbarune;Tumbuhan
#016;Bayukarsa;Air
#017;Arkacen;Air
#018;Waycendana;Tumbuhan
#019;Cakatimo;Terbang
#020;Gunturimba;Api
#021;Banyuarwana;Tumbuhan
#022;Kabutong;Tanah
#023;Racuntala;Tumbuhan
#024;Kalawara;Listrik
#025;Apirinjani;Air
#026;Cendrawangin;Tumbuhan
#027;Rimbunusa;Tumbuhan
#028;Komodraka;Tumbuhan
#029;Sawitara;Tumbuhan
#030;Samudraka;Air
#031;Barasura;Api
#032;Langitgora;Air
#033;Rimaurake;Tumbuhan
#034;Asmatswaka;Air
#035;Sendurimau;Api
#036;Merpamale;Terbang
#037;Bromosaurus;Terbang
#038;ToraJang;Tanah
#039;Lorengelang;Listrik
#040;Gagakvora;Listrik
#041;Sendujalak;Terbang
#042;Baduyliz;Listrik
#043;Minkyu;Tumbuhan
#044;Barayas;Air
#045;Asmatjago;Api
#046;Rawrang;Tumbuhan
#047;Papukuma;Tanah
#048;Ramareog;Tanah
#049;Gunturat;Listrik
#050;Banyunaga;Air
#051;Sukmatora;Listrik
#052;Gagaktoa;Terbang
#053;Asmatlati;Tumbuhan
#054;Balmeow;Listrik
#055;Dayagrim;Terbang
#056;Minangcika;Tanah
#057;Minyakjalak;Terbang
#058;Emasura;Air
#059;Bogorain;Air
#060;Ladamaung;Tanah
#061;Lapupesu;Air
#062;Kopiflora;Tumbuhan
#063;Lampusilk;Tanah
#064;Timagajah;Tanah
#065;Benoaroar;Api
#066;Nikelizard;Tanah
#067;Wakalumba;Air
#068;Sulfaeagle;Terbang
#069;Sulfasuar;Api
#070;Palmaraga;Tumbuhan
#071;Arunaga;Air
#072;Lavajawa;Api
#073;Ranujaya;Tumbuhan
#074;Pakisraya;Tumbuhan
#075;Suryaloka;Tumbuhan
#076;Merapora;Air
#077;Baraanoa;Api
#078;Lemburaka;Listrik
#079;Rembunaga;Tanah
#080;Bayanila;Tumbuhan
#081;Petarimba;Api
#082;Riamrawa;Tumbuhan
#083;Nitachu;Listrik
#084;Ayamwuruk;Api
#085;Baranusa;Api
#086;Krakavul;Api
#087;Banyurawa;Air
#088;Jaladara;Air
#089;Kilatling;Listrik
#090;Kliatrus;Listrik
#091;Lumorai;Tumbuhan
#092;Raflesaur;Tumbuhan
#093;Hijauron;Tumbuhan
#094;Pakisora;Tumbuhan
#095;Badagran;Tanah
#096;GolemJawa;Tanah
#097;Baturaksa;Tanah
#098;Arkaraja;Tanah
#099;Bayuwing;Terbang
#100;Elangrux;Terbang

